Account,PageNumber,Date,Detalhes,Debit,Credit,Balance
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,3 Jun 2025,To Theo new house,,5.00,269.09
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,3 Jun 2025,To Allianz,,210.33,58.76
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,4 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,53.76
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,4 Jun 2025,Savings Vault topup,,5.00,48.76
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,4 Jun 2025,To Theo new house,,5.00,43.76
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,4 Jun 2025,Payment from PAOLA RECH,,290.00,333.76
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,4 Jun 2025,Savings Vault topup,,100.00,233.76
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,4 Jun 2025,To Theo new house,,200.00,33.76
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,4 Jun 2025,Circle K Gas Station,,19.83,13.93
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,5 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,8.93
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,5 Jun 2025,Pocket Withdrawal,,60.00,68.93
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,5 Jun 2025,From Theo new house,,70.00,138.93
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,5 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,128.93
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,5 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,118.93
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,5 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,9.80,109.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,6 Jun 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,,0.01,109.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,31,6 Jun 2025,Gough Brothers,,1.00,108.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,6 Jun 2025,Circle K Gas Station,,70.00,38.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,6 Jun 2025,Dunnes Stores,,37.02,1.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,7 Jun 2025,Transfer from PAMELA REQUEJO NATALI,,50.00,51.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,7 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,41.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,7 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,36.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,7 Jun 2025,To Holiday,,5.00,31.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,7 Jun 2025,To Theo new house,,5.00,26.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,7 Jun 2025,Transfer from ANDREA CAROLINA INACIO SALINA,,40.00,66.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,8 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,61.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,8 Jun 2025,To Holiday,,5.00,56.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,8 Jun 2025,To Theo new house,,5.00,51.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,8 Jun 2025,Transfer from KARINE GATELLI D AGOSTINI,,40.00,91.12
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,8 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.30,85.82
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,8 Jun 2025,Gough Brothers,,1.00,84.82
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,79.82
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,Transfer from VANESSA VERMEULLER DE FREITAS,,55.00,134.82
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,To Theo new house,,60.00,74.82
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,To Theo new house,,20.00,54.82
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,Pocket Withdrawal,,30.00,84.82
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,To Holiday,,5.00,79.82
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,ALDI,,28.47,51.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,Transfer from NIVEA RENATA SAFANELLI,,50.00,101.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,32,9 Jun 2025,To Theo new house,,5.00,96.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,9 Jun 2025,To Theo new house,,25.00,71.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,10 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,66.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,10 Jun 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,,192.62,258.97
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,10 Jun 2025,To Holiday,,145.00,113.97
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,10 Jun 2025,To Theo new house,,50.00,63.97
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,10 Jun 2025,To Holiday,,5.00,58.97
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,10 Jun 2025,To Theo new house,,5.00,53.97
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,10 Jun 2025,Circle K Gas Station,,50.00,3.97
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,12 Jun 2025,Pocket Withdrawal,,35.00,38.97
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,12 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,9.90,29.07
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,12 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,24.07
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,12 Jun 2025,To Holiday,,5.00,19.07
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,13 Jun 2025,ALDI,,17.01,2.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,13 Jun 2025,Transfer from Revolut user,,60.00,62.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,13 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,57.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,13 Jun 2025,To Holiday,,5.00,52.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,13 Jun 2025,To Theo new house,,5.00,47.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,13 Jun 2025,Pocket Withdrawal,,20.00,67.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,13 Jun 2025,From Theo new house,,50.00,117.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,13 Jun 2025,From Theo new house,,25.00,142.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,14 Jun 2025,From Theo new house,,50.00,192.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,14 Jun 2025,Transfer to WAGNER VIANA DE OLIVEIRA,,50.00,142.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,15 Jun 2025,Amazon,,24.28,117.78
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,16 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,112.78
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,16 Jun 2025,To Holiday,,5.00,107.78
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,33,16 Jun 2025,To Theo new house,,5.00,102.78
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,16 Jun 2025,Amazon,,65.89,36.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,16 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,31.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,17 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,26.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,17 Jun 2025,To Holiday,,5.00,21.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,17 Jun 2025,To Theo new house,,5.00,16.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,17 Jun 2025,Hickey’s Pharmacy,,16.50,0.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,17 Jun 2025,From Theo new house,,110.00,110.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,17 Jun 2025,To Ianara Fernandes,,110.00,0.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,18 Jun 2025,From Theo new house,,35.00,35.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,18 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,25.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,18 Jun 2025,Pocket Withdrawal,,15.00,40.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,18 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,35.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,18 Jun 2025,To Holiday,,5.00,30.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,19 Jun 2025,Transfer from VANESSA VERMEULLER DE FREITAS,,55.00,85.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,19 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,80.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,19 Jun 2025,Circle K Gas Station,,20.00,60.39
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,19 Jun 2025,Circle K Gas Station,,8.50,51.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,19 Jun 2025,To Holiday,,5.00,46.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,19 Jun 2025,To Theo new house,,5.00,41.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,19 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,31.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,19 Jun 2025,Transfer from TATIANA ALVES CORREA CHAGAS,,10.00,41.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,20 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,36.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,20 Jun 2025,To Holiday,,5.00,31.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,20 Jun 2025,To Theo new house,,5.00,26.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,34,20 Jun 2025,More4Less,,6.00,20.89
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,20 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,0.10,20.79
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,20 Jun 2025,Pocket Withdrawal,,10.00,30.79
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,21 Jun 2025,Transfer from LHEANDRA OLIVEIRA DE SOUSA,,45.00,75.79
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,21 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,70.79
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,21 Jun 2025,To Holiday,,5.00,65.79
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,21 Jun 2025,To Theo new house,,5.00,60.79
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,21 Jun 2025,Woodie's,,8.99,51.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,21 Jun 2025,Ckns,,20.00,31.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,26.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,To Holiday,,5.00,21.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,To Theo new house,,5.00,16.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,Pocket Withdrawal,,35.00,51.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,From Theo new house,,90.00,141.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,From Holiday,,90.00,231.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,From Holiday,,10.00,241.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,To Theo new house,,100.00,141.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,22 Jun 2025,To Holiday,,100.00,41.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,23 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,36.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,23 Jun 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,,91.49,128.29
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,23 Jun 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,,72.23,200.52
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,23 Jun 2025,To Holiday,,200.00,0.52
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,23 Jun 2025,From Holiday,,100.00,100.52
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,23 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.10,95.42
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,23 Jun 2025,From Theo new house,,80.00,175.42
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,23 Jun 2025,To Holiday,,5.00,170.42
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,35,24 Jun 2025,IKEA,,150.10,20.32
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,24 Jun 2025,Amazon,,18.49,1.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,24 Jun 2025,From Holiday,,400.00,401.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,24 Jun 2025,Ultra plan fee,,45.00,356.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,24 Jun 2025,Plan termination refund,,15.00,371.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,24 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,361.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,24 Jun 2025,To Holiday,,5.00,356.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,24 Jun 2025,To Theo new house,,5.00,351.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,25 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,346.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,25 Jun 2025,To Holiday,,5.00,341.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,25 Jun 2025,To Theo new house,,5.00,336.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,25 Jun 2025,Transfer from Revolut user,,60.00,396.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,25 Jun 2025,Transfer from ANNA CAROLINA STAFUZZA,,50.00,446.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,25 Jun 2025,To Holiday,,230.00,216.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,25 Jun 2025,To Theo new house,,40.00,176.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,26 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,171.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,26 Jun 2025,Pocket Withdrawal,,30.00,201.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,26 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,191.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,26 Jun 2025,Pocket Withdrawal,,10.00,201.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,27 Jun 2025,Circle K Gas Station,,20.00,181.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,27 Jun 2025,Irish National Lottery,,10.00,171.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,27 Jun 2025,Transfer from JOYCE DE OLIVEIRA ALAMBERT,,50.00,221.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,27 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,216.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,27 Jun 2025,To Holiday,,5.00,211.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,27 Jun 2025,To Theo new house,,5.00,206.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,36,28 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,201.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,28 Jun 2025,To Holiday,,5.00,196.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,28 Jun 2025,To Theo new house,,5.00,191.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,28 Jun 2025,Pocket Withdrawal,,10.00,201.83
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,29 Jun 2025,Temu,,27.48,174.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,30 Jun 2025,From Theo new house,,80.00,254.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,30 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,244.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,30 Jun 2025,Google Pay top-up by *8687,,125.00,369.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,30 Jun 2025,From Holiday,,100.00,469.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,30 Jun 2025,To Holiday,,5.00,464.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,30 Jun 2025,To Theo new house,,5.00,459.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,30 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,454.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,30 Jun 2025,Iclasspro,,170.00,284.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,1 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,279.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,1 Jul 2025,Google Pay top-up by *8687,,140.00,419.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,1 Jul 2025,To Holiday,,180.00,239.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,1 Jul 2025,To Holiday,,5.00,234.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,1 Jul 2025,To Allianz,,210.33,24.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,1 Jul 2025,Circle K Gas Station,,20.00,4.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,1 Jul 2025,From Holiday,,140.00,144.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,1 Jul 2025,Transfer to LUDMILA ROUMILLAC FERREIRA SOARES,,140.00,4.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,2 Jul 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,,149.28,153.30
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,2 Jul 2025,To Theo new house,,150.00,3.30
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,3 Jul 2025,Pocket Withdrawal,,20.00,23.30
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,3 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,3.10,20.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,37,3 Jul 2025,Google Pay top-up by *8687,,65.00,85.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,3 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,80.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,3 Jul 2025,Transfer from TAMY ARAUJO KOBAYASHI,,50.00,130.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,3 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,125.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,3 Jul 2025,To Holiday,,5.00,120.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,3 Jul 2025,To Theo new house,,5.00,115.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,4 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,110.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,4 Jul 2025,To Holiday,,5.00,105.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,4 Jul 2025,To Theo new house,,5.00,100.20
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,4 Jul 2025,Circle K Gas Station,,19.69,80.51
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,4 Jul 2025,Euro Giant,,7.50,73.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,4 Jul 2025,Transfer from JESSE' MORELATTO BENATO,,50.00,123.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,4 Jul 2025,To Holiday,,50.00,73.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,4 Jul 2025,To Theo new house,,50.00,23.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,5 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,18.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,5 Jul 2025,To Holiday,,5.00,13.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,5 Jul 2025,To Theo new house,,5.00,8.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,5 Jul 2025,Pocket Withdrawal,,23.00,31.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,6 Jul 2025,From Theo new house,,10.00,41.01
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,6 Jul 2025,Temu,,36.42,4.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,6 Jul 2025,From Theo new house,,100.00,104.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,6 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,9.50,95.09
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,6 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,90.09
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,6 Jul 2025,Transfer from JESSE' MORELATTO BENATO,,50.00,140.09
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,135.09
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,38,7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,8.50,126.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,39,7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,121.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,39,7 Jul 2025,Pocket Withdrawal,,30.00,151.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,39,7 Jul 2025,To Holiday,,5.00,146.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,39,7 Jul 2025,To Theo new house,,5.00,141.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,39,7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,3.00,138.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,39,7 Jul 2025,From Theo new house,,30.00,168.59
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,39,7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,,2.50,166.09
